pocket,compound_id,desalted_smiles,source_database,best_docking_score_kcal_mol,median_docking_score_kcal_mol,max_tanimoto_to_reference,fingerprint_methods,observation_count,original_smiles,canonical_smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,passes_lipinski_light
BP1,CHEMBL32810,O=c1cc(O)c2ccc(O)cc2o1,ChEMBL23,-6.759,-6.759,0.95,RDK,1,c1c(c2c(oc1=O)cc(cc2)O)O,O=c1cc(O)c2ccc(O)cc2o1,178.143,1.204,2,4,70.67,0,13,True
BP1,MolPort-002-043-397,O=c1cc(O)c2ccc(O)cc2o1,MolPort,-6.759,-6.759,0.952,Avalon,1,Oc1ccc2c(O)cc(=O)oc2c1,O=c1cc(O)c2ccc(O)cc2o1,178.143,1.204,2,4,70.67,0,13,True
BP1,SCHEMBL11848480,O=c1cc(O)c2ccc(O)cc2o1,SureChEMBL,-6.759,-6.759,0.919,Pattern,1,c1(O)cc2c(c(O)cc(=O)o2)cc1,O=c1cc(O)c2ccc(O)cc2o1,178.143,1.204,2,4,70.67,0,13,True
BP1,5426,Cc1c2cc(O)c(=O)cc-2oc2cc(O)c(O)cc12,numeric library ID,-6.757,-6.757,0.498,Avalon;RDK,2,o1c2c(c(c3cc(c(cc13)O)O)C)cc(c(=O)c2)O,Cc1c2cc(O)c(=O)cc-2oc2cc(O)c(O)cc12,258.229,2.323,3,5,90.9,0,19,True
BP1,DB00170,CC1=CC(=O)c2ccccc2C1=O,DrugBank,-6.575,-6.575,0.615,Morgan;Pattern;Torsions,3,O=C1c2c(C(=O)C=C1C)cccc2,CC1=CC(=O)c2ccccc2C1=O,172.183,2.012,0,2,34.14,0,13,True
BP1,SCHEMBL9642273,O=c1[cH-]c(=O)c2ccccc2o1,SureChEMBL,-6.514,-6.514,0.71,Pairs,1,C1(=O)Oc2ccccc2C(=O)[CH-]1,O=c1[cH-]c(=O)c2ccccc2o1,161.136,0.872,0,3,47.28,0,12,True
BP1,DB04840,N=C(N)N1CCc2ccccc2C1,DrugBank,-6.513,-6.513,0.222,FCFP,1,N1(CCc2c(C1)cccc2)C(=N)N,N=C(N)N1CCc2ccccc2C1,175.235,0.938,2,1,53.11,0,13,True
BP1,DB00972,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,DrugBank,-6.318,-6.318,0.263,Avalon,1,Clc1ccc(Cc2nn(C3CCCN(CC3)C)c(=O)c3c2cccc3)cc1,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,381.907,4.298,0,4,38.13,3,27,True
BP2,746361,Oc1cc(-c2nc3ccccc3o2)c(O)cc1-c1nc2ccccc2o1,numeric library ID,-9.116,-9.116,0.441,Morgan,1,c1(c2cc(c(c3nc4c(o3)cccc4)cc2O)O)nc2c(o1)cccc2,Oc1cc(-c2nc3ccccc3o2)c(O)cc1-c1nc2ccccc2o1,344.326,4.714,2,6,92.52,2,26,True
BP2,3543,Cc1ccccc1N=Nc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1,numeric library ID,-9.093,-9.093,0.265,FCFP;Morgan,2,CC1=C(C=CC=C1)N=NC1=CC(C)=C(C=C1)N=NC1=C(O)C=CC2=C1C=CC=C2,Cc1ccccc1N=Nc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1,380.451,7.993,1,5,69.67,4,29,False
