desalted_smiles,compound_ids,source_databases,BP1,BP2,ensemble_best_score_kcal_mol,ensemble_mean_score_kcal_mol,observed_pocket_count,rank_ensemble_best,rank_ensemble_mean,max_tanimoto_to_reference,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,passes_lipinski_light
O=C(O)c1cc(=O)c2ccccc2o1,MolPort-000-499-561,MolPort,-6.931,,-6.931,-6.931,1,68,67,0.679,190.154,1.491,1,3,67.51,1,14,True
O=c1cc(CN2CCOCC2)c2cc(Cl)c(O)cc2o1,LSM-17202,LINCS,,-6.917,-6.917,-6.917,1,69,68,0.64,295.722,1.984,1,5,62.91,2,20,True
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,DB00776,DrugBank,-6.883,,-6.883,-6.883,1,70,69,0.306,252.273,2.642,1,2,63.4,0,19,True
Cc1cc(/C=C/c2ccccc2)cc(C)c1O,DB08100,DrugBank,,-6.88,-6.88,-6.88,1,71,70,0.637,224.303,4.179,1,1,20.23,2,17,True
O=c1cc(O)c2ccc3ccccc3c2o1,380712;50005460;MolPort-035-673-217;SCHEMBL2761855;ZINC000006576436,MolPort;SureChEMBL;ZINC15;numeric library ID,,-6.86,-6.86,-6.86,1,72,71,0.896,212.204,2.652,1,3,50.44,0,16,True
O=c1cc(O)c2ccc(F)cc2o1,29698120;SCHEMBL2761833;ZINC000044672070,SureChEMBL;ZINC15;numeric library ID,-6.856,,-6.856,-6.856,1,73,72,0.913,180.134,1.638,1,3,50.44,0,13,True
O=C1NC(=O)C2(CCc3ccccc32)N1,32838,numeric library ID,,-6.786,-6.786,-6.786,1,74,73,0.311,202.213,0.667,2,2,58.2,0,15,True
O=c1cc(O)c2ccc(O)cc2o1,CHEMBL32810;MolPort-002-043-397;SCHEMBL11848480,ChEMBL23;MolPort;SureChEMBL,-6.759,-6.134,-6.759,-6.4465,2,75,86,0.952,178.143,1.204,2,4,70.67,0,13,True
Cc1c2cc(O)c(=O)cc-2oc2cc(O)c(O)cc12,5426,numeric library ID,-6.757,,-6.757,-6.757,1,76,74,0.498,258.229,2.323,3,5,90.9,0,19,True
Cc1cc(=O)oc2cc(O)c(Cl)cc12,XZZ,PDB ligand,,-6.748,-6.748,-6.748,1,77,75,0.768,210.616,2.46,1,3,50.44,0,14,True
O=c1cc(O)c2cc(-c3ccccc3)ccc2o1,SCHEMBL8945680,SureChEMBL,,-6.711,-6.711,-6.711,1,78,76,0.71,238.242,3.166,1,3,50.44,1,18,True
O=C1C(O)=Cc2cccc3cccc1c23,CHEMBL227815,ChEMBL23,,-6.711,-6.711,-6.711,1,78,76,0.545,196.205,2.935,1,2,37.3,0,15,True
Cc1cc(=O)oc2cc(O)c(N)cc12,764465,numeric library ID,,-6.684,-6.684,-6.684,1,80,79,0.777,191.186,1.389,2,4,76.46,0,14,True
O=C(OOC(=O)c1ccccc1)c1ccccc1,DB09096,DrugBank,,-6.587,-6.587,-6.587,1,81,80,0.582,242.23,2.615,0,4,52.6,2,18,True
CC1=CC(=O)c2ccccc2C1=O,DB00170,DrugBank,-6.575,,-6.575,-6.575,1,82,81,0.615,172.183,2.012,0,2,34.14,0,13,True
CCC1(c2ccccc2)C(=O)NCNC1=O,DB00794,DrugBank,,-6.541,-6.541,-6.541,1,83,82,0.275,218.256,0.538,2,2,58.2,2,16,True
O=c1[cH-]c(=O)c2ccccc2o1,SCHEMBL9642273,SureChEMBL,-6.514,,-6.514,-6.514,1,84,83,0.71,161.136,0.872,0,3,47.28,0,12,True
N=C(N)N1CCc2ccccc2C1,DB04840,DrugBank,-6.513,,-6.513,-6.513,1,85,84,0.222,175.235,0.938,2,1,53.11,0,13,True
O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,3WL,PDB ligand,,-6.505,-6.505,-6.505,1,86,85,0.444,270.24,2.577,3,5,90.9,1,20,True
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,DB00972,DrugBank,-6.318,,-6.318,-6.318,1,87,87,0.263,381.907,4.298,0,4,38.13,3,27,True
O=c1ccc2cccc(O)c2o1,SCHEMBL1366927,SureChEMBL,,-5.969,-5.969,-5.969,1,88,88,0.774,162.144,1.499,1,3,50.44,0,12,True
