compound_id,docking_score_kcal_mol,tanimoto_to_reference,smiles,fingerprint_method,pocket,source_file,valid_smiles,canonical_smiles,desalted_smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,source_database,passes_lipinski_light
HMDB59798,-7.118,0.432,OC1=CC=C2C(C=CC3=CC=CC=C23)=C1,Pairs,BP1,BP1_candidates.xlsx,True,Oc1ccc2c(ccc3ccccc32)c1,Oc1ccc2c(ccc3ccccc32)c1,194.233,3.699,1,1,20.23,0,15,HMDB,True
HMDB32713,-7.148,0.66,OC1=CC=C(C=C1)C1=CC(O)=CC(O)=C1,Pattern,BP1,BP1_candidates.xlsx,True,Oc1ccc(-c2cc(O)cc(O)c2)cc1,Oc1ccc(-c2cc(O)cc(O)c2)cc1,202.209,2.47,3,3,60.69,1,15,HMDB,True
HMDB34138,-7.241,0.58,OC1=CC2=C(C=C1)C1=C(C3=C(O)C=C(O)C=C3O1)C(=O)O2,RDK,BP1,BP1_candidates.xlsx,True,O=c1oc2cc(O)ccc2c2oc3cc(O)cc(O)c3c12,O=c1oc2cc(O)ccc2c2oc3cc(O)cc(O)c3c12,284.223,2.809,3,6,104.04,0,21,HMDB,True
HMDB34138,-7.241,0.786,OC1=CC2=C(C=C1)C1=C(C3=C(O)C=C(O)C=C3O1)C(=O)O2,Rdmaccs,BP1,BP1_candidates.xlsx,True,O=c1oc2cc(O)ccc2c2oc3cc(O)cc(O)c3c12,O=c1oc2cc(O)ccc2c2oc3cc(O)cc(O)c3c12,284.223,2.809,3,6,104.04,0,21,HMDB,True
HMDB59801,-7.051,0.406,OC1=CC2=CC=CC=C2C2=CC=CC=C12,Torsions,BP1,BP1_candidates.xlsx,True,Oc1cc2ccccc2c2ccccc12,Oc1cc2ccccc2c2ccccc12,194.233,3.699,1,1,20.23,0,15,HMDB,True
LSM-3025,-6.967,0.704,CC1=CC(=O)Oc2cc(O)ccc12,Avalon,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,LINCS,True
LSM-3025,-6.967,0.552,CC1=CC(=O)Oc2cc(O)ccc12,FCFP,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,LINCS,True
LSM-32647,-6.988,0.304,CN(C)C(=O)c1c(oc2ccc(O)cc12)c3ccccc3,Morgan,BP1,BP1_candidates.xlsx,True,CN(C)C(=O)c1c(-c2ccccc2)oc2ccc(O)cc12,CN(C)C(=O)c1c(-c2ccccc2)oc2ccc(O)cc12,281.311,3.507,1,3,53.68,2,21,LINCS,True
LSM-3723,-7.064,0.393,O=C1c2ccccc2c3cccc4cccc1c34,Pairs,BP1,BP1_candidates.xlsx,True,O=C1c2ccccc2-c2cccc3cccc1c23,O=C1c2ccccc2-c2cccc3cccc1c23,230.266,4.051,0,1,17.07,0,18,LINCS,True
LSM-25905,-7.024,0.645,Cc1cc(O)nc2cc(O)ccc12,Pattern,BP1,BP1_candidates.xlsx,True,Cc1cc(O)nc2cc(O)ccc12,Cc1cc(O)nc2cc(O)ccc12,175.187,1.954,2,3,53.35,0,13,LINCS,True
LSM-3025,-6.967,0.645,CC1=CC(=O)Oc2cc(O)ccc12,RDK,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,LINCS,True
LSM-33579,-6.986,0.395,O=C(NC1CCCC1)c2oc3ccc4ccccc4c3c2,Torsions,BP1,BP1_candidates.xlsx,True,O=C(NC1CCCC1)c1cc2c(ccc3ccccc32)o1,O=C(NC1CCCC1)c1cc2c(ccc3ccccc32)o1,279.339,4.258,1,2,42.24,2,21,LINCS,True
MolPort-002-043-397,-6.759,0.952,Oc1ccc2c(O)cc(=O)oc2c1,Avalon,BP1,BP1_candidates.xlsx,True,O=c1cc(O)c2ccc(O)cc2o1,O=c1cc(O)c2ccc(O)cc2o1,178.143,1.204,2,4,70.67,0,13,MolPort,True
MolPort-000-744-145,-7.062,0.586,Cc1cc(=O)oc2cc(O)cc(O)c12,FCFP,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)cc(O)c12,Cc1cc(=O)oc2cc(O)cc(O)c12,192.17,1.513,2,4,70.67,0,14,MolPort,True
MolPort-006-318-916,-7.092,0.514,Oc1cc(O)c2c(oc3ccccc3c2=O)c1,Morgan,BP1,BP1_candidates.xlsx,True,O=c1c2ccccc2oc2cc(O)cc(O)c12,O=c1c2ccccc2oc2cc(O)cc(O)c12,228.203,2.357,2,4,70.67,0,17,MolPort,True
MolPort-000-499-561,-6.931,0.573,OC(=O)c1cc(=O)c2ccccc2o1,Pairs,BP1,BP1_candidates.xlsx,True,O=C(O)c1cc(=O)c2ccccc2o1,O=C(O)c1cc(=O)c2ccccc2o1,190.154,1.491,1,3,67.51,1,14,MolPort,True
MolPort-000-422-134,-7.036,0.815,Oc1ccc2c(CCl)cc(=O)oc2c1,Pattern,BP1,BP1_candidates.xlsx,True,O=c1cc(CCl)c2ccc(O)cc2o1,O=c1cc(CCl)c2ccc(O)cc2o1,210.616,2.237,1,3,50.44,1,14,MolPort,True
MolPort-000-744-145,-7.062,0.649,Cc1cc(=O)oc2cc(O)cc(O)c12,RDK,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)cc(O)c12,Cc1cc(=O)oc2cc(O)cc(O)c12,192.17,1.513,2,4,70.67,0,14,MolPort,True
MolPort-002-367-171,-7.327,0.846,Cc1c(C)c2ccc(O)cc2oc1=O,Rdmaccs,BP1,BP1_candidates.xlsx,True,Cc1c(C)c2ccc(O)cc2oc1=O,Cc1c(C)c2ccc(O)cc2oc1=O,190.198,2.115,1,3,50.44,0,14,MolPort,True
MolPort-000-499-561,-6.931,0.679,OC(=O)c1cc(=O)c2ccccc2o1,Torsions,BP1,BP1_candidates.xlsx,True,O=C(O)c1cc(=O)c2ccccc2o1,O=C(O)c1cc(=O)c2ccccc2o1,190.154,1.491,1,3,67.51,1,14,MolPort,True
251157,-7.396,0.8,c1cccc2c1ccc1c2oc(=O)c(c1O)C,Avalon,BP1,BP1_candidates.xlsx,True,Cc1c(O)c2ccc3ccccc3c2oc1=O,Cc1c(O)c2ccc3ccccc3c2oc1=O,226.231,2.96,1,3,50.44,0,17,numeric library ID,True
251157,-7.396,0.533,c1cccc2c1ccc1c2oc(=O)c(c1O)C,FCFP,BP1,BP1_candidates.xlsx,True,Cc1c(O)c2ccc3ccccc3c2oc1=O,Cc1c(O)c2ccc3ccccc3c2oc1=O,226.231,2.96,1,3,50.44,0,17,numeric library ID,True
760397,-6.967,0.429,c1(cc(=O)oc2c1ccc(c2)O)C,Morgan,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,numeric library ID,True
760397,-6.967,0.537,c1(cc(=O)oc2c1ccc(c2)O)C,Pairs,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,numeric library ID,True
402797,-7.062,0.788,Cc1c2c(cc(cc2O)O)oc(=O)c1.*C,Pattern,BP1,BP1_candidates.xlsx,True,*C.Cc1cc(=O)oc2cc(O)cc(O)c12,Cc1cc(=O)oc2cc(O)cc(O)c12,192.17,1.513,2,4,70.67,0,14,numeric library ID,True
251157,-7.396,0.668,c1cccc2c1ccc1c2oc(=O)c(c1O)C,RDK,BP1,BP1_candidates.xlsx,True,Cc1c(O)c2ccc3ccccc3c2oc1=O,Cc1c(O)c2ccc3ccccc3c2oc1=O,226.231,2.96,1,3,50.44,0,17,numeric library ID,True
251157,-7.396,0.88,c1cccc2c1ccc1c2oc(=O)c(c1O)C,Rdmaccs,BP1,BP1_candidates.xlsx,True,Cc1c(O)c2ccc3ccccc3c2oc1=O,Cc1c(O)c2ccc3ccccc3c2oc1=O,226.231,2.96,1,3,50.44,0,17,numeric library ID,True
760397,-6.967,0.516,c1(cc(=O)oc2c1ccc(c2)O)C,Torsions,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,numeric library ID,True
5426,-6.757,0.498,o1c2c(c(c3cc(c(cc13)O)O)C)cc(c(=O)c2)O,Avalon,BP1,BP1_candidates.xlsx,True,Cc1c2cc(O)c(=O)cc-2oc2cc(O)c(O)cc12,Cc1c2cc(O)c(=O)cc-2oc2cc(O)c(O)cc12,258.229,2.323,3,5,90.9,0,19,numeric library ID,True
19824,-7.229,0.282,n1c2c3ccccc3C(C(c2cc2c1cccc2)O)(C)C,FCFP,BP1,BP1_candidates.xlsx,True,CC1(C)c2ccccc2-c2nc3ccccc3cc2C1O,CC1(C)c2ccccc2-c2nc3ccccc3cc2C1O,275.351,4.226,1,2,33.12,0,21,numeric library ID,True
151252,-7.043,0.238,Brc1ccc2c(c1)c1ccccc1cc2C(=O)O,Morgan,BP1,BP1_candidates.xlsx,True,O=C(O)c1cc2ccccc2c2cc(Br)ccc12,O=C(O)c1cc2ccccc2c2cc(Br)ccc12,301.139,4.454,1,1,37.3,1,18,numeric library ID,True
151252,-7.043,0.4,Brc1ccc2c(c1)c1ccccc1cc2C(=O)O,Pairs,BP1,BP1_candidates.xlsx,True,O=C(O)c1cc2ccccc2c2cc(Br)ccc12,O=C(O)c1cc2ccccc2c2cc(Br)ccc12,301.139,4.454,1,1,37.3,1,18,numeric library ID,True
62129,-6.945,0.603,[nH]1cnc2c1c1ccc(cc1cc2)O,Pattern,BP1,BP1_candidates.xlsx,True,Oc1ccc2c(ccc3nc[nH]c32)c1,Oc1ccc2c(ccc3nc[nH]c32)c1,184.198,2.422,2,2,48.91,0,14,numeric library ID,True
