pocket,compound_ids,source_databases,desalted_smiles,old_best_docking_score_kcal_mol,new_vina_score_kcal_mol,score_delta_new_minus_old,ligand_name,out_pdbqt,log_path,returncode
BP2,96541,numeric library ID,N#CC1C=Cc2c(ccc3ccccc23)N1C(=O)c1ccccc1,-7.635,-8.481,-0.8460000000000001,BP2_96541,work/docking/BP2/BP2_96541_vina_out.pdbqt,work/docking/BP2/BP2_96541_vina.log,0
BP2,85Z,PDB ligand,Cc1cc(F)ccc1-c1c(Cc2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2oc1=O,-7.594,-9.875,-2.2809999999999997,BP2_85Z,work/docking/BP2/BP2_85Z_vina_out.pdbqt,work/docking/BP2/BP2_85Z_vina.log,0
BP2,CHEMBL2262363,ChEMBL23,O=c1oc2ccccc2c(O)c1-c1cccc(-c2c(O)c3ccccc3oc2=O)c1,-7.581,-9.346,-1.7649999999999997,BP2_CHEMBL2262363,work/docking/BP2/BP2_CHEMBL2262363_vina_out.pdbqt,work/docking/BP2/BP2_CHEMBL2262363_vina.log,0
BP2,DB07236,DrugBank,Oc1ccc2cc(-c3noc4cc(O)ccc34)ccc2c1,-7.533,-8.847,-1.3139999999999992,BP2_DB07236,work/docking/BP2/BP2_DB07236_vina_out.pdbqt,work/docking/BP2/BP2_DB07236_vina.log,0
BP2,LSM-27001,LINCS,O=c1oc2cc(OCc3ccc([N+](=O)[O-])cc3)ccc2c2c1CCCC2,-7.532,-9.616,-2.0839999999999996,BP2_LSM-27001,work/docking/BP2/BP2_LSM-27001_vina_out.pdbqt,work/docking/BP2/BP2_LSM-27001_vina.log,0
BP2,317,PDB ligand,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,-7.497,-7.823,-0.3260000000000005,BP2_317,work/docking/BP2/BP2_317_vina_out.pdbqt,work/docking/BP2/BP2_317_vina.log,0
BP2,HMDB29534,HMDB,CC(=O)c1c(O)ccc2c(=O)c(-c3ccccc3)c(C)oc12,-7.487,-7.636,-0.14900000000000002,BP2_HMDB29534,work/docking/BP2/BP2_HMDB29534_vina_out.pdbqt,work/docking/BP2/BP2_HMDB29534_vina.log,0
BP2,DB08820,DrugBank,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,-7.456,-8.997,-1.5409999999999995,BP2_DB08820,work/docking/BP2/BP2_DB08820_vina_out.pdbqt,work/docking/BP2/BP2_DB08820_vina.log,0
BP2,DB04750,DrugBank,O=C(O)c1ccc(-c2c3cc(F)c(=O)cc-3oc3cc(O)c(F)cc23)c(C(=O)O)c1,-7.429,-9.065,-1.6359999999999992,BP2_DB04750,work/docking/BP2/BP2_DB04750_vina_out.pdbqt,work/docking/BP2/BP2_DB04750_vina.log,0
BP2,1842204;MolPort-002-113-300;ZINC000000296657,MolPort;ZINC15;numeric library ID,O=C(Oc1cc(=O)oc2ccccc12)c1ccccc1,-7.367,-8.34,-0.9729999999999999,BP2_1842204,work/docking/BP2/BP2_1842204_vina_out.pdbqt,work/docking/BP2/BP2_1842204_vina.log,0
BP2,DB01852;LSM-5304,DrugBank;LINCS,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,-7.312,-8.143,-0.8310000000000004,BP2_DB01852,work/docking/BP2/BP2_DB01852_vina_out.pdbqt,work/docking/BP2/BP2_DB01852_vina.log,0
BP2,HMDB29219,HMDB,O=c1oc2c(O)c(O)ccc2c2cc(O)c(O)cc12,-7.247,-8.012,-0.7650000000000006,BP2_HMDB29219,work/docking/BP2/BP2_HMDB29219_vina_out.pdbqt,work/docking/BP2/BP2_HMDB29219_vina.log,0
BP2,SCHEMBL11830680,SureChEMBL,O=c1cc(O)c2cc(Cc3ccccc3)ccc2o1,-7.191,-7.885,-0.694,BP2_SCHEMBL11830680,work/docking/BP2/BP2_SCHEMBL11830680_vina_out.pdbqt,work/docking/BP2/BP2_SCHEMBL11830680_vina.log,0
