pocket,ligand_name,compound_ids,source_databases,desalted_smiles,old_best_docking_score_kcal_mol,conf00_base,conf01_mode1_minus,conf02_mode1_plus,conf03_mode2_minus,conf04_mode2_plus,ensemble_best_score_kcal_mol,ensemble_mean_score_kcal_mol,ensemble_std_score_kcal_mol,ensemble_range_score_kcal_mol,enopt_style_weighted_score_kcal_mol,rank_ensemble_best,rank_ensemble_mean,rank_enopt_style_weighted
BP2,BP2_2608,2608,numeric library ID,O=c1cc2oc3cc(O)c(O)cc3c(-c3ccccc3)c-2cc1O,-6.961,-7.791,-8.206,-8.819,-7.783,-8.583,-8.819,-8.2364,0.46487396141319864,1.0360000000000005,-8.25213198680132,17,21,21
BP2,BP2_317,317,PDB ligand,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,-7.497,-7.713,-7.246,-8.616,-7.682,-7.681,-8.616,-7.787599999999999,0.5019106494187981,1.3699999999999992,-7.813151584841515,19,35,35
BP2,BP2_32838,32838,numeric library ID,O=C1NC(=O)C2(CCc3ccccc32)N1,-6.786,-7.178,-6.298,-7.617,-7.266,-6.972,-7.617,-7.0662,0.4885705680861261,1.319,-7.089158884111589,44,45,45
BP2,BP2_338,338;DB07009,DrugBank;PDB ligand,Oc1ccc2nc(-c3cccc4c(O)cccc34)oc2c1,-7.843,-8.258,-7.804,-8.406,-8.522,-8.535,-8.535,-8.304999999999998,0.30141333746203075,0.7309999999999999,-8.313911708829117,23,18,18
BP2,BP2_3543,3543,numeric library ID,Cc1ccccc1N=Nc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1,-9.093,-8.45,-7.864,-8.454,-7.709,-8.114,-8.454,-8.118200000000002,0.3372435321840881,0.745000000000001,-8.152526047395261,24,24,24
BP2,BP2_380712,380712;50005460;MolPort-035-673-217;SCHEMBL2761855;ZINC000006576436,MolPort;SureChEMBL;ZINC15;numeric library ID,O=c1cc(O)c2ccc3ccccc3c2o1,-6.86,-7.186,-7.078,-7.751,-7.278,-7.289,-7.751,-7.3164,0.25736219613610706,0.673,-7.325809119088091,42,42,42
BP2,BP2_3WL,3WL,PDB ligand,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,-6.505,-7.796,-7.616,-7.856,-7.79,-7.82,-7.856,-7.7756,0.09291286240343707,0.2400000000000002,-7.781560043995601,39,36,36
BP2,BP2_4368550,4368550;CHEMBL1801014;ZINC000000057885,ChEMBL23;ZINC15;numeric library ID,O=c1cc(-c2cccc(O)c2)oc2c1ccc1ccccc12,-8.141,-8.96,-8.511,-9.549,-9.223,-8.983,-9.549,-9.0452,0.38141997850138903,1.0380000000000003,-9.056921607839216,6,5,5
BP2,BP2_50651,50651,numeric library ID,O=C(Nc1ccc(Cl)cc1)c1cc2c(cc1O)[nH]c1ccccc12,-8.307,-8.738,-8.597,-8.895,-8.613,-8.767,-8.895,-8.722,0.12218428704215613,0.29800000000000004,-8.732325667433257,13,11,12
BP2,BP2_529222,529222;CHEMBL12208;MolPort-000-467-367;ZINC000000058121,ChEMBL23;MolPort;ZINC15;numeric library ID,Cc1cc(=O)oc2cc(O)ccc12,-6.453,-6.529,-6.379,-6.693,-6.838,-6.377,-6.838,-6.5632,0.2013285871405252,0.4610000000000003,-6.557231276872313,51,51,51
BP2,BP2_656562,656562,numeric library ID,O=c1oc2cc3ccccc3cc2c2c1ccc1ccccc12,-8.08,-8.756,-8.39,-9.068,-8.831,-9.076,-9.076,-8.824200000000001,0.2810999822127349,0.6859999999999999,-8.840017098290172,9,9,9
BP2,BP2_686393,686393;CHEMBL392451,ChEMBL23;numeric library ID,O=c1oc2ccccc2c(O)c1C(c1cccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)c1)c1c(O)c2ccccc2oc1=O,-8.211,-10.46,-9.343,-9.14,-8.556,-9.759,-10.46,-9.451600000000001,0.7110473261323754,1.9040000000000017,-9.51281891810819,1,2,2
BP2,BP2_71881,71881,numeric library ID,O=C(Nc1ccc2ncccc2c1)Nc1ccc2ncccc2c1,-7.856,-8.899,-8.533,-9.551,-7.937,-9.354,-9.551,-8.8548,0.6484136025716918,1.6139999999999999,-8.911167283271674,5,8,7
BP2,BP2_746361,746361,numeric library ID,Oc1cc(-c2nc3ccccc3o2)c(O)cc1-c1nc2ccccc2o1,-9.116,-9.079,-8.371,-9.638,-8.718,-9.229,-9.638,-9.007,0.484934531663811,1.2669999999999995,-9.046894510548945,4,6,6
BP2,BP2_7524,7524,numeric library ID,COc1ccc(C(=O)O[C@H]2CC[C@@]3(C)[C@@H]4CC[C@H]5[C@]6(O)C[C@H](O)[C@@]7(O)[C@@H](CN8C[C@@H](C)CC[C@H]8[C@@]7(C)O)[C@]6(O)C[C@@]53O[C@@]24O)cc1OC,-8.124,-8.864,-8.357,-9.459,-8.649,-8.95,-9.459,-8.855799999999999,0.4075410408780938,1.1020000000000003,-8.885494850514949,7,7,8
BP2,BP2_764465,764465,numeric library ID,Cc1cc(=O)oc2cc(O)c(N)cc12,-6.684,-6.855,-6.559,-6.972,-6.892,-6.651,-6.972,-6.7858,0.1734551815311381,0.41300000000000026,-6.790965303469653,48,48,48
BP2,BP2_85Z,85Z,PDB ligand,Cc1cc(F)ccc1-c1c(Cc2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2oc1=O,-7.594,-9.767,-9.661,-9.663,-9.489,-9.874,-9.874,-9.6908,0.14296223277495337,0.3849999999999998,-9.702492150784922,2,1,1
BP2,BP2_96541,96541,numeric library ID,N#CC1C=Cc2c(ccc3ccccc23)N1C(=O)c1ccccc1,-7.635,-7.998,-7.679,-7.944,-8.051,-8.166,-8.166,-7.967599999999999,0.18103121277834938,0.4870000000000001,-7.975497250274973,31,26,26
BP2,BP2_CHEMBL1364708,CHEMBL1364708;MolPort-003-378-434,ChEMBL23;MolPort,O=c1cc(-c2cc3ccccc3o2)c2cc(O)ccc2o1,-8.175,-8.143,-8.283,-8.326,-8.195,-8.337,-8.337,-8.256800000000002,0.0846711284913574,0.19399999999999906,-8.25692500749925,27,19,20
BP2,BP2_CHEMBL2262363,CHEMBL2262363,ChEMBL23,O=c1oc2ccccc2c(O)c1-c1cccc(-c2c(O)c3ccccc3oc2=O)c1,-7.581,-8.86,-9.26,-9.205,-9.307,-8.858,-9.307,-9.097999999999999,0.22114361849259867,0.44899999999999984,-9.0783398660134,8,4,4
BP2,BP2_CHEMBL227815,CHEMBL227815,ChEMBL23,O=C1C(O)=Cc2cccc3cccc1c23,-6.711,-7.231,-6.807,-7.405,-7.484,-7.049,-7.484,-7.1952,0.2742156086002398,0.6769999999999996,-7.197718628137186,45,43,43
BP2,BP2_CHEMBL3094027,CHEMBL3094027,ChEMBL23,O=c1cc(O)c2ccc(OCc3cccc(F)c3)cc2o1,-6.968,-7.763,-7.537,-8.266,-7.473,-8.125,-8.266,-7.832800000000001,0.35173455900721506,0.7930000000000001,-7.860308669133087,29,31,31
BP2,BP2_CHEMBL374372,CHEMBL374372,ChEMBL23,O=c1cc(/C=C/c2ccc(O)c(O)c2)oc2ccccc12,-7.174,-8.578,-8.786,-8.392,-8.664,-8.538,-8.786,-8.5916,0.14657011973796022,0.39400000000000013,-8.580270772922708,18,15,16
BP2,BP2_DB00794,DB00794,DrugBank,CCC1(c2ccccc2)C(=O)NCNC1=O,-6.541,-6.849,-5.947,-6.897,-6.589,-6.785,-6.897,-6.613399999999999,0.3905339933987822,0.9500000000000002,-6.644502249775023,50,50,49
BP2,BP2_DB01852,DB01852;LSM-5304,DrugBank;LINCS,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,-7.312,-7.875,-7.917,-7.733,-7.624,-7.972,-7.972,-7.824199999999999,0.14268391640265582,0.34800000000000075,-7.830574442555744,35,32,32
BP2,BP2_DB04750,DB04750,DrugBank,O=C(O)c1ccc(-c2c3cc(F)c(=O)cc-3oc3cc(O)c(F)cc23)c(C(=O)O)c1,-7.429,-8.796,-8.458,-8.63,-8.83,-8.242,-8.83,-8.5912,0.2450289778781273,0.5879999999999992,-8.58854294570543,15,16,15
BP2,BP2_DB06595,DB06595,DrugBank,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,-7.953,-9.53,-8.775,-8.952,-9.363,-9.87,-9.87,-9.297999999999998,0.44115700153120047,1.0949999999999989,-9.318837316268374,3,3,3
BP2,BP2_DB07236,DB07236,DrugBank,Oc1ccc2cc(-c3noc4cc(O)ccc34)ccc2c1,-7.533,-8.051,-8.03,-8.826,-8.082,-8.285,-8.826,-8.2548,0.33507864748443783,0.7960000000000012,-8.268869613038696,16,20,19
BP2,BP2_DB08100,DB08100,DrugBank,Cc1cc(/C=C/c2ccccc2)cc(C)c1O,-6.88,-7.784,-7.426,-7.974,-7.44,-7.91,-7.974,-7.706800000000001,0.2591702143379906,0.548,-7.731568043195681,34,38,37
BP2,BP2_DB08820,DB08820,DrugBank,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,-7.456,-8.813,-8.465,-8.789,-8.615,-8.94,-8.94,-8.7244,0.18558232674476297,0.47499999999999964,-8.741061493850616,11,10,10
BP2,BP2_DB09096,DB09096,DrugBank,O=C(OOC(=O)c1ccccc1)c1ccccc1,-6.587,-6.144,-7.01,-7.794,-6.346,-7.361,-7.794,-6.931,0.6887495916514214,1.6499999999999995,-6.943451554844516,41,47,47
BP2,BP2_HMDB29219,HMDB29219,HMDB,O=c1oc2c(O)c(O)ccc2c2cc(O)c(O)cc12,-7.247,-7.649,-7.607,-7.707,-7.795,-7.641,-7.795,-7.6798,0.0737644901019453,0.18799999999999972,-7.676850414958505,40,39,39
BP2,BP2_HMDB29518,HMDB29518,HMDB,CC(=O)c1ccc2oc(=O)cc(C)c2c1O,-6.957,-7.127,-7.216,-7.085,-6.824,-7.183,-7.216,-7.087000000000001,0.1554268316604312,0.39200000000000035,-7.094764223577642,46,44,44
BP2,BP2_HMDB29534,HMDB29534,HMDB,CC(=O)c1c(O)ccc2c(=O)c(-c3ccccc3)c(C)oc12,-7.487,-7.424,-6.911,-7.709,-7.472,-7.334,-7.709,-7.37,0.2916410464938022,0.798,-7.384332866713329,43,41,41
BP2,BP2_HMDB30796,HMDB30796;LSM-36988;MRI,HMDB;LINCS;PDB ligand,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,-7.943,-7.621,-7.619,-8.148,-7.606,-8.32,-8.32,-7.8628,0.34431918331687533,0.7140000000000004,-7.880722427757224,28,30,30
BP2,BP2_HMDB30821,HMDB30821,HMDB,O=c1ccc2cc(O)c(OC3OC(CO)C(O)C(O)C3O)cc2o1,-7.718,-8.339,-7.126,-8.304,-7.208,-8.408,-8.408,-7.877,0.6498646012824516,1.2819999999999991,-7.94493390660934,26,29,27
BP2,BP2_HMDB38956,HMDB38956,HMDB,O=c1oc(C=CC=Cc2ccc(O)cc2)nc2ccccc12,-7.636,-8.5,-8.075,-8.608,-8.084,-7.805,-8.608,-8.2144,0.33186337550263095,0.8030000000000008,-8.230615738426158,20,23,22
BP2,BP2_LSM-17202,LSM-17202,LINCS,O=c1cc(CN2CCOCC2)c2cc(Cl)c(O)cc2o1,-6.917,-7.148,-6.754,-7.206,-7.161,-7.017,-7.206,-7.0572,0.18351212494001604,0.45200000000000085,-7.065779822017799,47,46,46
BP2,BP2_LSM-27001,LSM-27001,LINCS,O=c1oc2cc(OCc3ccc([N+](=O)[O-])cc3)ccc2c2c1CCCC2,-7.532,-8.834,-8.141,-8.703,-8.447,-8.893,-8.893,-8.6036,0.3103382026112803,0.7520000000000007,-8.63263803619638,14,14,14
BP2,BP2_LSM-36455,LSM-36455,LINCS,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,-7.102,-8.425,-7.975,-8.565,-8.559,-8.493,-8.565,-8.4034,0.24614386037437538,0.5899999999999999,-8.413420357964204,22,17,17
BP2,BP2_MolPort-002-321-924,MolPort-002-321-924,MolPort,O=C(NNC(=O)c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,-8.303,-8.935,-8.354,-8.972,-8.698,-8.647,-8.972,-8.7212,0.2497452702254842,0.6180000000000003,-8.740158284171583,10,12,11
BP2,BP2_SCHEMBL11830680,SCHEMBL11830680,SureChEMBL,O=c1cc(O)c2cc(Cc3ccccc3)ccc2o1,-7.191,-7.857,-7.441,-8.141,-7.588,-7.971,-8.141,-7.799600000000001,0.28398732366075785,0.7000000000000002,-7.824601539846015,32,34,33
BP2,BP2_SCHEMBL11848480,SCHEMBL11848480,SureChEMBL,O=c1cc(O)c2ccc(O)cc2o1,-6.134,-6.19,-6.16,-6.395,-6.479,-6.53,-6.53,-6.3508000000000004,0.16790086360707016,0.3700000000000001,-6.349869513048695,52,53,53
BP2,BP2_SCHEMBL1366927,SCHEMBL1366927,SureChEMBL,O=c1ccc2cccc(O)c2o1,-5.969,-6.424,-6.125,-6.474,-6.411,-6.422,-6.474,-6.3712,0.1397630137053434,0.3490000000000002,-6.379893810618938,53,52,52
BP2,BP2_SCHEMBL8945680,SCHEMBL8945680,SureChEMBL,O=c1cc(O)c2cc(-c3ccccc3)ccc2o1,-6.711,-7.634,-7.734,-7.755,-7.871,-7.578,-7.871,-7.7144,0.11360589773422856,0.29300000000000015,-7.705148585141487,38,37,38
BP2,BP2_XZZ,XZZ,PDB ligand,Cc1cc(=O)oc2cc(O)c(Cl)cc12,-6.748,-6.676,-6.39,-6.958,-6.694,-6.459,-6.958,-6.6354,0.22388121850660028,0.5680000000000005,-6.64315498450155,49,49,50
